id,nombre,nombre_generico_en,sinonimos,estado,candidato_codigo,candidato_nombre,score,candidatos
95,Aglutinogeno De Fimbrias De Toxoide Pertussis,,,sin_candidato,,,,[]
96,Agni Casti Fruto Extracto Seco,Chaste Tree Preparation,,sin_candidato,,,,[]
97,Agnus Castus Exto Seco,Chaste Tree Preparation,,sin_candidato,,,,[]
101,Agropyrum Repens,Aspergillus Repens Allergenic Extract,,sin_candidato,,,,[]
102,Agropyrum Repens Exto Seco,Aspergillus Repens Allergenic Extract,,sin_candidato,,,,[]
103,Agua Oxigenada,Water,,sin_candidato,,,,[]
105,Aire Ambiental,Air,,sin_candidato,,,,[]
106,Alanina,Alanine,,revisar,D04AX91,Calamina,0.75,"[{""codigo"":""D04AX91"",""nombre"":""Calamina"",""score"":0.75},{""codigo"":""M03AC02"",""nombre"":""Galamina"",""score"":0.75}]"
107,Alantoina,Allantoin,,sin_candidato,,,,[]
112,Alcachofa,,,sin_candidato,,,,[]
114,Alcaravea,,,sin_candidato,,,,[]
116,Alcohol Etilico,Ethanol,,sin_candidato,,,,[]
117,Alcohol Pantotenilico,Ethanol,,revisar,S01XA98,Polivinilico alcohol,0.769,"[{""codigo"":""S01XA98"",""nombre"":""Polivinilico alcohol"",""score"":0.769},{""codigo"":""R02AA03"",""nombre"":""Alcohol diclorobencilico"",""score"":0.75}]"
118,Alcohol Tricloro Butilico Terciario,Ethanol,,sin_candidato,,,,[]
119,Aldesleucina,Aldesleukin,,auto,L03AC01,Aldesleukina,0.917,"[{""codigo"":""L03AC01"",""nombre"":""Aldesleukina"",""score"":0.917}]"
123,Alendronato Sodio,Ganciclovir Sodium,,sin_candidato,,,,[]
124,Alendronato Sodio Monohidrato,Ganciclovir Sodium,,sin_candidato,,,,[]
125,Alendronato Sodio Trihidrato,Ganciclovir Sodium,,sin_candidato,,,,[]
126,Alendronico Acido,Alendronic Acid,,auto,M05BA04,Acido alendronico,1,"[{""codigo"":""M05BA04"",""nombre"":""Acido alendronico"",""score"":1},{""codigo"":""M05BA02"",""nombre"":""Acido clodronico"",""score"":0.864},{""codigo"":""M05BA06"",""nombre"":""Acido ibandronico"",""score"":0.864}]"
127,Alfa Amilcinamaldehido,Alglucosidase Alfa,,sin_candidato,,,,[]
129,Alfa-cetoglutarico Acido,Alglucosidase Alfa,,sin_candidato,,,,[]
137,Alginato Sodio,Ganciclovir Sodium,,sin_candidato,,,,[]
138,Alginico Acido,Alginic Acid,,auto,A02BX13,Acido alginico,1,"[{""codigo"":""A02BX13"",""nombre"":""Acido alginico"",""score"":1},{""codigo"":""C03CC01"",""nombre"":""Acido etacrinico"",""score"":0.8},{""codigo"":""D01AE12"",""nombre"":""Acido salicilico"",""score"":0.8}]"
140,Alilguayacol,,,sin_candidato,,,,[]
149,Almendras Amargas,,,sin_candidato,,,,[]
150,Almidon Hidroxietil,,,auto,B05AA07,Hidroxietil almidon,1,"[{""codigo"":""B05AA07"",""nombre"":""Hidroxietil almidon"",""score"":1}]"
152,Aloe Capensis,,,sin_candidato,,,,[]
153,Aloe Ferox Mill.,Aloe Ferox Leaf Preparation,,sin_candidato,,,,[]
154,Aloe Ferox Polvo,Aloe Ferox Leaf Preparation,,sin_candidato,,,,[]
157,Aloysia Citriodora,Aloysia Citrodora Flower Oil,,sin_candidato,,,,[]
161,Alquilbencildimetilamonio,,,sin_candidato,,,,[]
162,Alquitran Hulla,,,sin_candidato,,,,[]
163,Alquitran Mineral,,,sin_candidato,,,,[]
165,Althaea Officinalis L.,Althaea Officinalis Root Extract,,sin_candidato,,,,[]
166,Althaea Officinalis L Exto Liquido,Althaea Officinalis Root Extract,,sin_candidato,,,,[]
167,Althaea Officinalis L. Extracto Seco,Althaea Officinalis Root Extract,,sin_candidato,,,,[]
168,Althea Officinalis L.,,,sin_candidato,,,,[]
171,Aluminio Aminoacetato Basico,Aluminum,,sin_candidato,,,,[]
172,Aluminio Fosfato,Aluminum,,sin_candidato,,,,[]
174,Aluminio Hidroxido Coloidal,Aluminum Hydroxide,,sin_candidato,,,,[]
176,Aluminio Potasio Sulfato,Potassium Sulfate,,sin_candidato,,,,[]
179,Amapola De California,Eschscholzia Californica Extract,,sin_candidato,,,,[]
183,Ametocaina,,,sin_candidato,,,,[]
184,Ametopterina,Aminopterin,,sin_candidato,,,,[]
188,Amidotrizoato Calcio,Calcium,,sin_candidato,,,,[]
189,Amidotrizoato Meglumina,Meglumine,,sin_candidato,,,,[]
190,Amidotrizoato Sodio,Ganciclovir Sodium,,sin_candidato,,,,[]
191,Amidotrizoico Acido,Iocetamic Acid,,revisar,A11HA91,Aminobenzoico acido,0.846,"[{""codigo"":""A11HA91"",""nombre"":""Aminobenzoico acido"",""score"":0.846},{""codigo"":""D02BA01"",""nombre"":""Acido aminobenzoico"",""score"":0.846},{""codigo"":""V08AA01"",""nombre"":""Acido diatrizoico"",""score"":0.846}]"
197,Amilmetacresol,Amylmetacresol,,sin_candidato,,,,[]
200,Aminoacetico Acido,Dihydroxyaluminum Aminoacetate,,revisar,B02AA01,Acido aminocaproico,0.846,"[{""codigo"":""B02AA01"",""nombre"":""Acido aminocaproico"",""score"":0.846},{""codigo"":""J04AA01"",""nombre"":""Acido aminosalicilico"",""score"":0.833},{""codigo"":""A11HA91"",""nombre"":""Aminobenzoico acido"",""score"":0.808}]"
202,Aminolevulinato Metilo,Methyl 5-aminolevulinate,,sin_candidato,,,,[]
203,Aminolevulinico Acido,Aminolevulinic Acid,,auto,L01XD04,Acido aminolevulinico,1,"[{""codigo"":""L01XD04"",""nombre"":""Acido aminolevulinico"",""score"":1},{""codigo"":""N03AG03"",""nombre"":""Acido aminobutirico"",""score"":0.833},{""codigo"":""B02AA03"",""nombre"":""Acido aminometilbenzoico"",""score"":0.806}]"
204,Aminolevulinico Hidrocloruro,Aminolevulinate,,sin_candidato,,,,[]
205,Aminosidina,Paromomycin,,revisar,R03DA05,Aminofilina,0.818,"[{""codigo"":""R03DA05"",""nombre"":""Aminofilina"",""score"":0.818},{""codigo"":""D08AA02"",""nombre"":""Aminoacridina"",""score"":0.769}]"
215,Ammoidina,Methoxsalen,,sin_candidato,,,,[]
218,Amonio Molibdato,Ammonium Molybdate,,sin_candidato,,,,[]
235,Andusomeran,"Sars-cov-2 (covid-19) Vaccine, Mrna-1273 Omicron (xbb.1.5)",,sin_candidato,,,,[]
236,Aneurina,Potentilla Anserina Whole Extract,,sin_candidato,,,,[]
237,Angelica Arcangelica,,,sin_candidato,,,,[]
238,Angelica Archangelica Raiz,Angelica Archangelica Root Extract,,sin_candidato,,,,[]
244,Ansamicina,Rifabutin,,revisar,A07AA08,Kanamicina,0.8,"[{""codigo"":""A07AA08"",""nombre"":""Kanamicina"",""score"":0.8},{""codigo"":""J01FA07"",""nombre"":""Josamicina"",""score"":0.8},{""codigo"":""J01GB04"",""nombre"":""Kanamicina"",""score"":0.8}]"
247,Anticuerpo Humanizado Frente Al Antigeno De Maduracion De Celulas B Conjugado Con Maleimidocaproil Monometil Auristatin F,,,sin_candidato,,,,[]
248,"Anticuerpo Monoclonal Biespecifico Contra Cd3 Y Bcma, De Isotipo Igg2k Humanizado Y Modificado En La Region Fc",,,sin_candidato,,,,[]
249,Antigeno De Una Cepa Similar A B  (linaje Victoria),Influenza B Virus B/victoria/705/2018 Antigen,,sin_candidato,,,,[]
250,Antigeno De Una Cepa Similar A B  (linaje Yamagata),,,sin_candidato,,,,[]
251,Antigeno Hepatitis A,,,sin_candidato,,,,[]
252,Antigeno Oligosacarido Meningococo Grupo A,Meningococcal Group A Polysaccharide,,sin_candidato,,,,[]
253,Antigeno Oligosacarido Meningococo Grupo C,Meningococcal Group C Polysaccharide,,sin_candidato,,,,[]
254,Antigeno Oligosacarido Meningococo Grupo W135,,,sin_candidato,,,,[]
255,Antigeno Oligosacarido Meningococo Grupo Y,Meningococcal Polysaccharide Vaccine Group Y,,sin_candidato,,,,[]
256,Antigeno Polisacarido Meningococo Gr W-135,Meningococcal Polysaccharide Vaccine Group W-135,,sin_candidato,,,,[]
257,Antigeno Polisacarido Meningococo Gr Y,Meningococcal Polysaccharide Vaccine Group Y,,sin_candidato,,,,[]
258,Antigeno Polisacarido Meningococo Grupo A,Meningococcal Group A Polysaccharide,,sin_candidato,,,,[]
259,Antigeno Polisacarido Meningococo Grupo C,Meningococcal Group C Polysaccharide,,sin_candidato,,,,[]
260,Antigeno Recombinante De La Glicoproteina E (ge) Del Virus De La Varicela Zoster (vvz),,,sin_candidato,,,,[]
261,Antigeno Salmonella Typhi Polisacarido Capsular Vi,,,sin_candidato,,,,[]
262,Antigeno Superficie Hepatitis B,Hepatitis B Surface Antigen Vaccine,,sin_candidato,,,,[]
263,Antigenos Superficie Virus Gripe,Influenza B Virus Antigen,,sin_candidato,,,,[]
266,Antraquinona,"9,10-anthraquinone",,sin_candidato,,,,[]
267,Antraquinona Glucosidos,,,sin_candidato,,,,[]
269,Apap,Acetaminophen,,sin_candidato,,,,[]
270,Apio De Montaña,Arnica Montana Extract,,sin_candidato,,,,[]
280,Aquocobalamina,,,sin_candidato,,,,[]
281,Arabinosido Citosina,Cytosine,,sin_candidato,,,,[]
282,Arandano Rojo,,,sin_candidato,,,,[]
283,Arandano Rojo Purificado Extracto Seco,"Coagulation Factor Ix, Human",,sin_candidato,,,,[]
284,Arctostaphylos Uva Ursi (gayuba) Extracto Seco 10 %,,,sin_candidato,,,,[]
285,Arctostaphylos Uva-ursi,,,sin_candidato,,,,[]
291,Arnica Montana,Arnica Montana Extract,,sin_candidato,,,,[]
292,Arnica Montana Extracto Liquido,Arnica Montana Extract,,sin_candidato,,,,[]
293,"Arnm Con Caperuza Que Codifica La Proteina Espiga Del Sars-cov-2, Variante Omicron Xfg",,,sin_candidato,,,,[]
294,Arnm Que Codifica El Dominio N-terminal Y El Dominio De Union Al Receptor De La Glicoproteina De La Espicula De Sars-cov 2 (xbb.1.5.),,,sin_candidato,,,,[]
295,"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe A, Subtipo H1n1, Cepa A/wisconsin/67/2022",,,sin_candidato,,,,[]
296,"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe A, Subtipo H3n2, Cepaa/darwin/6/2021",Influenza A Virus A/darwin/6/2021 (h3n2) Antigen,,sin_candidato,,,,[]
297,"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe B, Cepa B/austria/1359417/2021",Influenza B Virus B/austria/1359417/2021 Antigen,,sin_candidato,,,,[]
307,Ascorbato Sodio,Sodium Ascorbate,,revisar,A02AH91,Sodio bicarbonato,0.773,"[{""codigo"":""A02AH91"",""nombre"":""Sodio bicarbonato"",""score"":0.773}]"
308,Ascorbico Acido,Ascorbic Acid,,revisar,G01AD03,Acido ascorbico,1,"[{""codigo"":""G01AD03"",""nombre"":""Acido ascorbico"",""score"":1},{""codigo"":""S01XA15"",""nombre"":""Acido ascorbico"",""score"":1},{""codigo"":""A05AA03"",""nombre"":""Acido colico"",""score"":0.778}]"
312,Asiaticosido,Asiaticoside,,sin_candidato,,,,[]
314,Asparagina Monohidrato,,,sin_candidato,,,,[]
316,Asparragin Aminohidrolasa,Asparagine,,sin_candidato,,,,[]
317,Aspartato Arginina,Arginine,,sin_candidato,,,,[]
318,Aspartico Acido,Aspartic Acid,,revisar,G01AD03,Acido ascorbico,0.833,"[{""codigo"":""G01AD03"",""nombre"":""Acido ascorbico"",""score"":0.833},{""codigo"":""S01XA15"",""nombre"":""Acido ascorbico"",""score"":0.833},{""codigo"":""D05AX01"",""nombre"":""Acido fumarico"",""score"":0.778}]"
337,Atropa Belladonna,"Belladonna Extract, Usp",,sin_candidato,,,,[]
338,Atropa Belladonna Tintura Madre,"Belladonna Extract, Usp",,sin_candidato,,,,[]
351,Avibactam,Avibactam,,sin_candidato,,,,[]
352,Avibactam Sodio,Avibactam,,sin_candidato,,,,[]
353,Avxs-101,,,sin_candidato,,,,[]
354,Axeroftol,,,sin_candidato,,,,[]
358,Azahar,,,sin_candidato,,,,[]
360,Azd9291,,,sin_candidato,,,,[]
361,Azelaico Acido,Azelaic Acid,,auto,D10AX03,Acido azelaico,1,"[{""codigo"":""D10AX03"",""nombre"":""Acido azelaico"",""score"":1},{""codigo"":""D03AX92"",""nombre"":""Acexamico acido"",""score"":0.833},{""codigo"":""G01AD02"",""nombre"":""Acido acetico"",""score"":0.813}]"
364,Azidotimidina,Zidovudine,,sin_candidato,,,,[]
370,Azul De Metileno,Methylene Blue,,revisar,S01KX02,Azul de tripano,0.792,"[{""codigo"":""S01KX02"",""nombre"":""Azul de tripano"",""score"":0.792}]"
371,Azul Disperso,,,sin_candidato,,,,[]
374,A-84538,Pepsin A,,sin_candidato,,,,[]
375,Bacillus Pfeiffer,,,sin_candidato,,,,[]
376,Bacilo Calmette-guerin Subcepa Moscu,,,sin_candidato,,,,[]
377,"Bacilo Calmette-guerin,cepa Danesa 1331, Vivo Atenuado",,,sin_candidato,,,,[]
382,Balsamo Nicaragua,,,sin_candidato,,,,[]
383,Balsamo Peru,Peruvian Balsam,,sin_candidato,,,,[]
384,Balsamo Tolu,Tolu Balsam,,sin_candidato,,,,[]
385,Balsamo Tolu Exto Fluido,Tolu Balsam,,sin_candidato,,,,[]
388,Bardana,,,sin_candidato,,,,[]
391,Bario Sulfato,Barium Sulfate,,sin_candidato,,,,[]
397,Bcg Atenuado,,,sin_candidato,,,,[]
398,Bcg Cultivo Vivo Desecado,,,sin_candidato,,,,[]
406,Belladona Exto Blando,"Belladonna Extract, Usp",,sin_candidato,,,,[]
411,Bempedoico Acido,Bempedoic Acid,,auto,C10AX15,Acido bempedoico,1,"[{""codigo"":""C10AX15"",""nombre"":""Acido bempedoico"",""score"":1},{""codigo"":""N03AG01"",""nombre"":""Acido valproico"",""score"":0.75},{""codigo"":""V08AA02"",""nombre"":""Acido metrizoico"",""score"":0.75}]"
414,Bencenocarboxilico Acido,Iocetamic Acid,,sin_candidato,,,,[]
415,Bencidamida,,,revisar,A01AD02,Bencidamina,0.909,"[{""codigo"":""A01AD02"",""nombre"":""Bencidamina"",""score"":0.909},{""codigo"":""G02CC03"",""nombre"":""Bencidamina"",""score"":0.909},{""codigo"":""M01AX07"",""nombre"":""Bencidamina"",""score"":0.909}]"
419,Bencilparaben,Benzylparaben,,sin_candidato,,,,[]
428,Bendrofluazida,Bendroflumethiazide,,revisar,C03AA01,Bendroflumetiazida,0.778,"[{""codigo"":""C03AA01"",""nombre"":""Bendroflumetiazida"",""score"":0.778}]"
431,Benoxinato,Benoxinate,,revisar,N02BA10,Benorilato,0.8,"[{""codigo"":""N02BA10"",""nombre"":""Benorilato"",""score"":0.8}]"
433,Benserazida,Benserazide,,sin_candidato,,,,[]
434,Benserazida Hidrocloruro,Benserazide,,sin_candidato,,,,[]
439,Benzhidramina,,,revisar,A01AD02,Bencidamina,0.769,"[{""codigo"":""A01AD02"",""nombre"":""Bencidamina"",""score"":0.769},{""codigo"":""G02CC03"",""nombre"":""Bencidamina"",""score"":0.769},{""codigo"":""M01AX07"",""nombre"":""Bencidamina"",""score"":0.769}]"
441,Benzoato Sodio,Ganciclovir Sodium,,sin_candidato,,,,[]
442,Benzobromarona,Benzbromarone,,auto,M04AB03,Benzbromarona,0.929,"[{""codigo"":""M04AB03"",""nombre"":""Benzbromarona"",""score"":0.929}]"
446,Bergamota,Bergamot Orange Extract,,sin_candidato,,,,[]
449,Besilesomab,,,sin_candidato,,,,[]
450,Beta Glucuronidasa Humana Recombinante,Follitropin Beta,,sin_candidato,,,,[]
451,Beta-dimetilaminoetil Benzhidril Eter,Beta Carotene,,sin_candidato,,,,[]
452,"Beta-dimetilaminoetil Benzhidril Eter 1,3-dimetil-8-cloroxantina",,,sin_candidato,,,,[]
464,Beta-picolinico,Beta Carotene,,sin_candidato,,,,[]
468,Betula Alba,,,sin_candidato,,,,[]
469,Betula Pendula R.,Silver Birch Pollen Allergenic Extract,,sin_candidato,,,,[]
470,Betula Pendula R. Extracto Seco,Silver Birch Pollen Allergenic Extract,,sin_candidato,,,,[]
477,Bicisato Dihidrocloruro,Bicisate,,sin_candidato,,,,[]
479,Bictegravir Sodio,Bictegravir,,sin_candidato,,,,[]
488,Bisbutiamina,,,revisar,A08AA10,Sibutramina,0.75,"[{""codigo"":""A08AA10"",""nombre"":""Sibutramina"",""score"":0.75},{""codigo"":""A11DA02"",""nombre"":""Sulbutiamina"",""score"":0.75}]"
489,Bisibutiamina,,,revisar,A08AA10,Sibutramina,0.769,"[{""codigo"":""A08AA10"",""nombre"":""Sibutramina"",""score"":0.769}]"
490,Bismalva,,,sin_candidato,,,,[]
491,Bismuto Subcitrato,Bismuth Subcitrate,,sin_candidato,,,,[]
492,Bismuto Subcitrato Coloidal,Bismuth Subcitrate,,sin_candidato,,,,[]
493,Bismuto Subcitrato Potasio,Bismuth Subcitrate,,sin_candidato,,,,[]
500,Bordetella Pertussis Hemaglutinina Filamentosa,Bordetella Pertussis,,sin_candidato,,,,[]
501,Bordetella Pertussis Pertactina,Bordetella Pertussis,,sin_candidato,,,,[]
502,Bordetella Pertussis Pertactina (prot.memb.externa 69kd),"Bordetella Pertussis Pertactin Vaccine, Inactivated",,sin_candidato,,,,[]
503,Bordetella Pertussis Proteina Meb Externa 69kd,Pertussis Vaccine,,sin_candidato,,,,[]
504,Bordetella Pertussis Toxoide,"Bordetella Pertussis Toxoid Vaccine, Inactivated",,sin_candidato,,,,[]
509,B-piridin-carboxilico,Vitamin B12,,sin_candidato,,,,[]
510,Brea Hulla,,,sin_candidato,,,,[]
511,Brea Mineral,,,sin_candidato,,,,[]
513,Bretovameran,,,sin_candidato,,,,[]
535,Bromovinildesoxiuridina,,,sin_candidato,,,,[]
536,Bromprofenpiridamina,,,sin_candidato,,,,[]
539,Brovanexina,Brovanexine,,sin_candidato,,,,[]
540,Brovanexina Hidrocloruro,Brovanexine,,sin_candidato,,,,[]
554,Butilparaben,Butylparaben,,sin_candidato,,,,[]
562,Cacahuete,,,sin_candidato,,,,[]
563,"Cacahuete Polvo Desengrasado, Semillas",Bismuth Subsalicylate 262 Mg Powder For Oral Suspension [estomaquil],,sin_candidato,,,,[]
567,Cajeputol,Eucalyptol,,sin_candidato,,,,[]
573,Calcio Cloruro,Calcium Chloride,,sin_candidato,,,,[]
574,Calcio Cloruro Anhidro,Calcium Chloride,,revisar,A12AA07,Cloruro de calcio,0.762,"[{""codigo"":""A12AA07"",""nombre"":""Cloruro de calcio"",""score"":0.762},{""codigo"":""B05XA07"",""nombre"":""Cloruro de calcio"",""score"":0.762},{""codigo"":""G04BA03"",""nombre"":""Cloruro de calcio"",""score"":0.762}]"
575,Calcio Cloruro Dihidrato,Calcium Chloride,,sin_candidato,,,,[]
580,Calcitonina Salmon Sintetica,Salmon Calcitonin,,sin_candidato,,,,[]
582,Camelia Thea Link,,,sin_candidato,,,,[]
583,Camellia Sinensis,Camellia Sinensis Whole Extract,,sin_candidato,,,,[]
584,Camomila,Chamomile Extract,,sin_candidato,,,,[]
590,Canela,,,sin_candidato,,,,[]
602,Capsicum,Capsicum Extract,,sin_candidato,,,,[]
603,Capsicum Oleorresina,Capsicum Oleoresin,,sin_candidato,,,,[]
608,Carbetapentano,Carbetapentane,,sin_candidato,,,,[]
610,Carbidopa,Carbidopa,,sin_candidato,,,,[]
611,Carbidopa Monohidrato,Carbidopa,,sin_candidato,,,,[]
615,Carbolico Acido,Iocetamic Acid,,revisar,A05AA03,Acido colico,0.833,"[{""codigo"":""A05AA03"",""nombre"":""Acido colico"",""score"":0.833},{""codigo"":""A05AA06"",""nombre"":""Acido norucolico"",""score"":0.8},{""codigo"":""A16AA05"",""nombre"":""Acido carglumico"",""score"":0.8}]"
616,Carbomero,Carbomer,,sin_candidato,,,,[]
618,Carbon Adsorbente,Ammonium Carbonate,,sin_candidato,,,,[]
619,Carbon Cafe,Ammonium Carbonate,,sin_candidato,,,,[]
621,Carbon Ultraactivo,Ammonium Carbonate,,sin_candidato,,,,[]
622,Carbonildiamida,Urea,,sin_candidato,,,,[]
623,Carbono-99m Tc (aerosol),,,sin_candidato,,,,[]
625,Carbopol,Carbomer,,revisar,N07AB01,Carbacol,0.75,"[{""codigo"":""N07AB01"",""nombre"":""Carbacol"",""score"":0.75},{""codigo"":""S01EB02"",""nombre"":""Carbacol"",""score"":0.75}]"
627,Cardo Bendito,,,sin_candidato,,,,[]
628,Cardo Mariano,Picea Mariana Resin,,sin_candidato,,,,[]
630,Carglumico Acido,Carglumic Acid,,auto,A16AA05,Acido carglumico,1,"[{""codigo"":""A16AA05"",""nombre"":""Acido carglumico"",""score"":1},{""codigo"":""R01AC05"",""nombre"":""Acido espaglumico"",""score"":0.818},{""codigo"":""S01GX03"",""nombre"":""Acido espaglumico"",""score"":0.818}]"
634,Carmelosa Sodica,Carboxymethylcellulose,,sin_candidato,,,,[]
635,Carmin De Indigo,Indigo Carmine,,sin_candidato,,,,[]
638,Carnitina Hidrocloruro,Levocarnitine,,sin_candidato,,,,[]
639,Carnosina,Carnosine,,sin_candidato,,,,[]
640,Carragahen,Emepronium Carrageenate,,sin_candidato,,,,[]
641,Carragenano,Carrageenan,,sin_candidato,,,,[]
644,Carum Carvi L.,,,sin_candidato,,,,[]
645,Carum Carvi L. Fruto,,,sin_candidato,,,,[]
647,Cas 276,Calcium Ion,,sin_candidato,,,,[]
652,Cassia Angustifolia,,,sin_candidato,,,,[]
653,Cassia Angustifolia Exto,,,sin_candidato,,,,[]
654,Cassia Angustifolia Exto Liquido,,,sin_candidato,,,,[]
655,Cassia Angustifolia Frutos,,,sin_candidato,,,,[]
656,Cassia Angustifolia Frutos Extracto Seco,,,sin_candidato,,,,[]
657,Cassia Angustifolia Hoja O Foliola,,,sin_candidato,,,,[]
658,Cassia Angustifolia Polvo,,,sin_candidato,,,,[]
661,Cbdca,Carboplatin,,sin_candidato,,,,[]
662,Cdp-colina,Citicoline,,sin_candidato,,,,[]
663,Cedazuridina,Cedazuridine,,revisar,J01DB02,Cefaloridina,0.75,"[{""codigo"":""J01DB02"",""nombre"":""Cefaloridina"",""score"":0.75}]"
686,Ceftolozano Sulfato,Ceftolozane,,sin_candidato,,,,[]
692,Celidonia  Mayor,Burdock Root Extract,,sin_candidato,,,,[]
693,Celulas Cd3+ Autologas Transducidas Anti Cd19,,,sin_candidato,,,,[]
694,"Celulas Epiteliales Corneales Humanas Autologas, Expandidas Ex Vivo, Entre Las Que Se Encuentran Celulas Madre",,,sin_candidato,,,,[]
695,Celulas T Autologas Transducidas Con El Vector Lentiviral Que Contienen El Receptor Antigeno Quimerico Directo Anti-cd19,,,sin_candidato,,,,[]
696,"Celulas T Cd4+ Y Cd8+ Autologas Derivadas De Sangre Periferica Y Activadas Con Anticuerpos Especificos De Cd3 Y Cd28, Transducidas Con Un Vector Retroviral, Que Expresa El Receptor Quimerico Especifico De Cd19 Que Incluye Dominios De Cd28/cd3-zeta, Y Cult",,,sin_candidato,,,,[]
698,Cemivameran,,,sin_candidato,,,,[]
702,Centaurium Umbellatum,Centaurium Erythraea Preparation,,sin_candidato,,,,[]
